Date,Open,High,Low,Close,Volume,Company
2024-02-26,194.0,194.25,190.0,191.0,639509.0,JOHN KEELLS HOLDINGS PLC
2024-02-27,190.0,190.75,189.25,189.75,105706.0,JOHN KEELLS HOLDINGS PLC
2024-02-29,188.0,188.5,185.0,185.75,2399175.0,JOHN KEELLS HOLDINGS PLC
2024-03-01,186.0,187.5,184.75,185.0,439933.0,JOHN KEELLS HOLDINGS PLC
2024-03-02,186.0,187.5,184.75,185.0,439933.0,JOHN KEELLS HOLDINGS PLC
2024-03-03,186.0,187.5,184.75,185.0,439933.0,JOHN KEELLS HOLDINGS PLC
2024-03-04,185.75,190.5,185.75,190.0,360913.0,JOHN KEELLS HOLDINGS PLC
2024-03-05,190.0,190.0,187.5,188.0,296911.0,JOHN KEELLS HOLDINGS PLC
2024-03-06,190.0,190.0,186.0,186.25,54020.0,JOHN KEELLS HOLDINGS PLC
2024-03-07,187.0,190.75,186.5,189.0,970628.0,JOHN KEELLS HOLDINGS PLC
2024-03-09,187.0,190.75,186.5,189.0,970628.0,JOHN KEELLS HOLDINGS PLC
2024-03-10,187.0,190.75,186.5,189.0,970628.0,JOHN KEELLS HOLDINGS PLC
2024-03-11,189.0,190.5,189.0,190.25,11054.0,JOHN KEELLS HOLDINGS PLC
2024-03-12,190.5,191.75,190.0,191.0,46402.0,JOHN KEELLS HOLDINGS PLC
2024-03-13,191.5,192.0,190.5,192.0,183412.0,JOHN KEELLS HOLDINGS PLC
2024-03-14,192.0,192.5,190.0,190.25,240276.0,JOHN KEELLS HOLDINGS PLC
2024-03-15,190.25,192.25,190.25,192.0,147112.0,JOHN KEELLS HOLDINGS PLC
2024-03-16,190.25,192.25,190.25,192.0,147112.0,JOHN KEELLS HOLDINGS PLC
2024-03-17,190.25,192.25,190.25,192.0,147112.0,JOHN KEELLS HOLDINGS PLC
2024-03-18,191.5,193.0,191.5,193.0,97096.0,JOHN KEELLS HOLDINGS PLC
2024-03-19,193.0,193.0,189.75,190.25,137099.0,JOHN KEELLS HOLDINGS PLC
2024-03-20,190.0,192.5,189.0,189.25,288076.0,JOHN KEELLS HOLDINGS PLC
2024-03-21,190.0,190.0,187.0,187.5,96156.0,JOHN KEELLS HOLDINGS PLC
2024-03-22,187.75,190.0,187.75,190.0,316065.0,JOHN KEELLS HOLDINGS PLC
2024-03-23,187.75,190.0,187.75,190.0,316065.0,JOHN KEELLS HOLDINGS PLC
2024-03-24,187.75,190.0,187.75,190.0,316065.0,JOHN KEELLS HOLDINGS PLC
2024-03-25,191.75,191.75,190.0,190.5,441737.0,JOHN KEELLS HOLDINGS PLC
2024-03-26,190.0,191.75,190.0,190.5,40344.0,JOHN KEELLS HOLDINGS PLC
