Date,Open,High,Low,Close,Volume,Company
2024-02-26,12.7,13.0,12.7,13.0,472638.0,SINGER (SRI LANKA) PLC
2024-02-27,13.0,13.0,12.8,12.9,4284.0,SINGER (SRI LANKA) PLC
2024-02-29,13.5,13.5,13.0,13.1,57779.0,SINGER (SRI LANKA) PLC
2024-03-01,13.0,13.3,12.8,13.2,32919.0,SINGER (SRI LANKA) PLC
2024-03-02,13.0,13.3,12.8,13.2,32919.0,SINGER (SRI LANKA) PLC
2024-03-03,13.0,13.3,12.8,13.2,32919.0,SINGER (SRI LANKA) PLC
2024-03-04,13.1,13.7,13.0,13.5,1208190.0,SINGER (SRI LANKA) PLC
2024-03-05,13.4,13.9,13.4,13.7,480871.0,SINGER (SRI LANKA) PLC
2024-03-06,13.6,13.8,13.4,13.6,494668.0,SINGER (SRI LANKA) PLC
2024-03-07,13.8,15.0,13.8,14.7,1804529.0,SINGER (SRI LANKA) PLC
2024-03-09,13.8,15.0,13.8,14.7,1804529.0,SINGER (SRI LANKA) PLC
2024-03-10,13.8,15.0,13.8,14.7,1804529.0,SINGER (SRI LANKA) PLC
2024-03-11,14.7,15.1,14.5,15.0,681640.0,SINGER (SRI LANKA) PLC
2024-03-12,15.0,15.0,14.6,14.7,74680.0,SINGER (SRI LANKA) PLC
2024-03-13,14.9,15.0,14.5,14.9,205651.0,SINGER (SRI LANKA) PLC
2024-03-14,15.0,15.2,14.6,15.1,1708115.0,SINGER (SRI LANKA) PLC
2024-03-15,15.2,16.4,15.1,16.1,2948861.0,SINGER (SRI LANKA) PLC
2024-03-16,15.2,16.4,15.1,16.1,2948861.0,SINGER (SRI LANKA) PLC
2024-03-17,15.2,16.4,15.1,16.1,2948861.0,SINGER (SRI LANKA) PLC
2024-03-18,16.3,16.4,15.7,16.2,458404.0,SINGER (SRI LANKA) PLC
2024-03-19,16.2,16.2,15.6,15.9,620291.0,SINGER (SRI LANKA) PLC
2024-03-20,15.9,16.1,15.5,15.6,432156.0,SINGER (SRI LANKA) PLC
2024-03-21,15.8,15.8,15.5,15.5,85646.0,SINGER (SRI LANKA) PLC
2024-03-22,15.4,16.2,15.4,16.0,1090426.0,SINGER (SRI LANKA) PLC
